City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
441,Bac Lieu,VN,9.285,105.7244,82.99,78,77,3.67,6/22/2022 14:44
29,Bouca,CF,6.5105,18.2733,82.96,65,71,4.25,6/22/2022 14:40
491,Labuan,MY,5.2767,115.2417,82.76,83,20,2.3,6/22/2022 14:45
87,Bull Savanna,JM,17.8868,-77.5902,82.74,58,59,3.33,6/22/2022 14:41
263,Laguna,US,38.421,-121.4238,82.63,48,0,4.61,6/22/2022 14:42
475,Djambala,CG,-2.5447,14.7533,82.63,47,84,1.03,6/22/2022 14:44
556,Kayerkan,RU,69.3497,87.7602,82.53,37,49,10.09,6/22/2022 14:45
255,Faya,SA,18.3851,42.4509,82.51,40,86,10.11,6/22/2022 14:42
542,Pasir Gudang,MY,1.4584,103.8805,82.51,79,40,4.61,6/22/2022 14:45
600,Alibag,IN,18.6411,72.8792,82.47,80,71,9.17,6/22/2022 14:46
256,Isla Mujeres,MX,21.2311,-86.731,82.45,76,34,7.96,6/22/2022 14:42
567,Nishihara,JP,26.1842,127.7558,82.45,83,20,8.05,6/22/2022 14:45
568,Altamira,BR,-3.2033,-52.2064,82.4,69,81,3.89,6/22/2022 14:45
110,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,54,0,10.36,6/22/2022 14:41
79,Vila Velha,BR,-20.3297,-40.2925,82.35,68,20,7,6/22/2022 14:37
224,Kulhudhuffushi,MV,6.6221,73.07,82.33,78,100,12.88,6/22/2022 14:42
554,Mauriti,BR,-7.3892,-38.7744,82.22,52,44,11.23,6/22/2022 14:45
584,Abha,SA,18.2164,42.5053,82.22,47,40,16.11,6/22/2022 14:42
692,Ixtapa,MX,20.7,-105.2,82.22,89,75,1.01,6/22/2022 14:46
684,Badlapur,IN,19.15,73.2667,82.2,81,99,4.32,6/22/2022 14:46
371,Bubaque,GW,11.2833,-15.8333,82.17,73,96,3.85,6/22/2022 14:43
563,Mayo,US,38.8876,-76.5119,82.15,76,0,5.75,6/22/2022 14:43
691,Dhidhdhoo,MV,6.8833,73.1,82.08,78,100,12.5,6/22/2022 14:46
622,Denpasar,ID,-8.65,115.2167,82.06,83,40,16.11,6/22/2022 14:42
439,Maceio,BR,-9.6658,-35.7353,81.84,57,100,12.66,6/22/2022 14:44
69,Hof,DE,50.3167,11.9167,81.75,32,0,3.44,6/22/2022 14:41
90,Teeswater,CA,43.9959,-81.2865,81.7,76,78,11.32,6/22/2022 14:41
674,Sabang,ID,5.8933,95.3214,81.61,78,100,11.68,6/22/2022 14:46
357,Mapastepec,MX,15.4333,-92.9,81.52,75,100,5.99,6/22/2022 14:43
443,Shelburne,CA,44.0787,-80.2041,81.36,47,26,10.56,6/22/2022 14:44
528,Mineiros,BR,-17.5694,-52.5511,81.36,32,43,9.26,6/22/2022 14:45
597,Surt,LY,31.2089,16.5887,81.36,53,0,13.56,6/22/2022 14:45
455,Kindu,CD,-2.95,25.95,81.23,63,96,2.53,6/22/2022 14:44
223,Mao,ES,39.8885,4.2658,81.16,69,20,14.97,6/22/2022 14:42
244,Waspan,NI,14.7419,-83.9717,81.16,77,51,6.98,6/22/2022 14:42
6,Champerico,GT,14.3,-91.9167,81.14,79,95,6.2,6/22/2022 14:40
457,Xacmaz,AZ,41.4635,48.806,81.1,52,1,13.78,6/22/2022 14:44
560,Karimnagar,IN,18.4333,79.15,81.07,77,99,4.14,6/22/2022 14:45
453,Agadir,MA,30.4202,-9.5982,81.05,50,6,13.56,6/22/2022 14:44
655,Hambantota,LK,6.1241,81.1185,80.94,94,40,10.36,6/22/2022 14:46
518,Caxito,AO,-8.5785,13.6643,80.92,53,1,11.18,6/22/2022 14:45
580,Lednice,CZ,48.7999,16.8034,80.91,31,79,5.84,6/22/2022 14:45
589,La Primavera,CO,5.4906,-70.4092,80.91,77,13,4.63,6/22/2022 14:45
11,Butaritari,KI,3.0707,172.7902,80.65,79,35,9.93,6/22/2022 14:40
397,Huilong,CN,31.8111,121.655,80.65,80,5,10.63,6/22/2022 14:44
385,Port Blair,IN,11.6667,92.75,80.64,83,75,2.3,6/22/2022 14:44
613,Murud,IN,18.3258,72.965,80.62,83,82,7.4,6/22/2022 14:46
414,Turan,VN,16.0678,108.2208,80.58,78,20,3.44,6/22/2022 14:44
523,Nouadhibou,MR,20.931,-17.0347,80.58,65,14,11.5,6/22/2022 14:45
232,Kavieng,PG,-2.5744,150.7967,80.56,79,100,5.73,6/22/2022 14:42
160,Astana,KZ,51.1801,71.446,80.55,26,0,13.42,6/22/2022 14:41
334,Zambezi,ZM,-13.5432,23.1047,80.47,23,0,5.17,6/22/2022 14:43
529,Schattdorf,CH,46.8655,8.6547,80.42,74,90,3,6/22/2022 14:45
422,Caravelas,BR,-17.7125,-39.2481,80.35,59,9,6.15,6/22/2022 14:44
389,Lorengau,PG,-2.0226,147.2712,80.28,77,68,2.75,6/22/2022 14:44
651,Yinchuan,CN,38.4681,106.2731,80.26,35,0,1.59,6/22/2022 14:46
145,Garachine,PA,8.0647,-78.3628,80.24,81,96,4.12,6/22/2022 14:41
196,Norwich,GB,52.6278,1.2983,80.22,50,0,9.22,6/22/2022 14:42
552,Bontang,ID,0.1333,117.5,80.22,80,97,4.65,6/22/2022 14:45
707,Galle,LK,6.0367,80.217,80.13,82,99,10.36,6/22/2022 14:47
306,Eskil,TR,38.4017,33.4131,80.02,32,59,14.88,6/22/2022 14:43
258,Kisesa,TZ,-3.0833,34.15,80.01,33,54,2.53,6/22/2022 14:42
34,Saint-Denis,FR,48.9167,2.3333,79.99,62,0,11.5,6/22/2022 14:40
466,Nacala,MZ,-14.5428,40.6728,79.92,53,20,11.5,6/22/2022 14:44
699,Cornwall,CA,45.0181,-74.7281,79.88,73,0,5.75,6/22/2022 14:47
590,Tangier,MA,35.7806,-5.8137,79.84,64,40,14.97,6/22/2022 14:45
536,Salinopolis,BR,-0.6136,-47.3561,79.83,76,73,6.17,6/22/2022 14:45
577,Samarai,PG,-10.6167,150.6667,79.81,82,95,15.12,6/22/2022 14:45
345,Faanui,PF,-16.4833,-151.75,79.77,72,63,15.82,6/22/2022 14:43
325,Lazaro Cardenas,MX,17.9583,-102.2,79.65,78,100,3.36,6/22/2022 14:41
546,Cilegon,ID,-6.0174,106.0538,79.61,81,91,5.3,6/22/2022 14:45
239,Yumen,CN,40.2833,97.2,79.59,21,1,11.79,6/22/2022 14:42
625,Yueyang,CN,29.3333,113.0919,79.54,81,35,14.54,6/22/2022 14:46
49,Sola,VU,-13.8833,167.55,79.45,80,41,18.03,6/22/2022 14:40
492,Phan Thiet,VN,10.9333,108.1,79.41,87,100,1.92,6/22/2022 14:41
633,Ocos,GT,14.5094,-92.1933,79.38,78,100,7.09,6/22/2022 14:46
503,Labuhan,ID,-6.8844,112.2051,79.3,74,21,6.76,6/22/2022 14:45
454,Duki,PK,30.1541,68.5728,79.27,45,0,12.24,6/22/2022 14:44
150,Dawei,MM,14.0833,98.2,79.23,84,100,0.96,6/22/2022 14:41
469,Bintulu,MY,3.1667,113.0333,79.21,94,40,0,6/22/2022 14:44
474,Belmonte,BR,-15.8631,-38.8828,79.21,63,13,6.85,6/22/2022 14:44
204,Namatanai,PG,-3.6667,152.4333,79.18,83,100,4.7,6/22/2022 14:42
151,Sibu,MY,2.3,111.8167,79.11,88,40,1.14,6/22/2022 14:41
332,Salar,ES,37.1499,-4.0191,79.05,27,0,12.19,6/22/2022 14:43
205,Surin,TH,14.8818,103.4936,79,99,100,7.94,6/22/2022 14:42
660,Sungairaya,ID,0.7,108.9,78.93,86,100,5.46,6/22/2022 14:46
450,Sassandra,CI,4.95,-6.0833,78.91,77,100,5.5,6/22/2022 14:44
611,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,66,0,9.93,6/22/2022 14:46
668,Carmen,MX,18.6333,-91.8333,78.87,82,100,11.12,6/22/2022 14:46
15,Avarua,CK,-21.2078,-159.775,78.85,83,75,11.5,6/22/2022 14:40
187,Touros,BR,-5.1989,-35.4608,78.84,83,100,8.48,6/22/2022 14:37
400,Port-Gentil,GA,-0.7193,8.7815,78.76,69,20,16.11,6/22/2022 14:44
666,Betare Oya,CM,5.6,14.0833,78.76,67,100,0.69,6/22/2022 14:46
226,Tautira,PF,-17.7333,-149.15,78.67,77,50,13.11,6/22/2022 14:42
478,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,78.6,89,75,2.3,6/22/2022 14:44
174,Puerto Escondido,MX,15.85,-97.0667,78.58,80,100,6.17,6/22/2022 14:42
415,Matara,LK,5.9485,80.5353,78.49,87,100,8.75,6/22/2022 14:44
35,Kieta,PG,-6.2167,155.6333,78.48,86,100,4.25,6/22/2022 14:40
402,Rosetta,EG,31.4044,30.4164,78.48,72,0,16.33,6/22/2022 14:44
89,Maumere,ID,-8.6199,122.2111,78.37,78,96,3.24,6/22/2022 14:41
175,Kilifi,KE,-3.6305,39.8499,78.37,72,43,20.58,6/22/2022 14:42
709,Marsh Harbour,BS,26.5412,-77.0636,78.35,63,67,14.81,6/22/2022 14:47
264,Kropotkin,RU,45.4375,40.5756,78.33,47,23,17.54,6/22/2022 14:42
285,Warrington,GB,53.3925,-2.5802,78.33,53,20,14.97,6/22/2022 14:40
420,Petatlan,MX,17.5167,-101.2667,78.33,83,100,1.21,6/22/2022 14:44
617,Chechen-Aul,RU,43.2,45.7889,78.31,61,98,10.13,6/22/2022 14:46
582,Tarakan,ID,3.3,117.6333,78.3,94,20,2.3,6/22/2022 14:45
615,Saint-Francois,FR,46.4154,3.9054,78.24,50,72,4.61,6/22/2022 14:46
472,Corozal,CO,9.3151,-75.2928,78.15,86,100,4.52,6/22/2022 14:44
290,Padang,ID,-0.9492,100.3543,78.1,88,91,3.15,6/22/2022 14:42
468,Kulu,TR,39.0951,33.0799,78.08,31,28,20.2,6/22/2022 14:44
180,Naze,JP,28.3667,129.4833,77.92,91,6,7.05,6/22/2022 14:42
323,Waingapu,ID,-9.6567,120.2641,77.9,80,9,12.62,6/22/2022 14:43
